"","ref","team","fouls"
"766","Eli Roe","MIA",247
"767","Eli Roe","MIL",288
"768","Eli Roe","MIN",285
"769","Eli Roe","NO",315
"770","Eli Roe","NY",244
"771","Eli Roe","OKC",336
"772","Eli Roe","ORL",295
"773","Eli Roe","PHI",248
"774","Eli Roe","PHO",362
"775","Eli Roe","POR",308
"776","Eli Roe","SA",270
"777","Eli Roe","SAC",335
"778","Eli Roe","TOR",336
"779","Eli Roe","UTA",318
"780","Eli Roe","WAS",330
"781","Eric Dalen","ATL",331
"782","Eric Dalen","BKN",332
"783","Eric Dalen","BOS",533
"784","Eric Dalen","CHA",413
"785","Eric Dalen","CHI",371
"786","Eric Dalen","CLE",398
"787","Eric Dalen","DAL",381
"788","Eric Dalen","DEN",244
"789","Eric Dalen","DET",443
"790","Eric Dalen","GS",359
"791","Eric Dalen","HOU",363
"792","Eric Dalen","IND",321
"793","Eric Dalen","LAC",338
"794","Eric Dalen","LAL",433
"795","Eric Dalen","MEM",320
"796","Eric Dalen","MIA",380
"797","Eric Dalen","MIL",458
"798","Eric Dalen","MIN",404
"799","Eric Dalen","NO",275
"800","Eric Dalen","NY",404
"801","Eric Dalen","OKC",476
"802","Eric Dalen","ORL",378
"803","Eric Dalen","PHI",313
"804","Eric Dalen","PHO",400
"805","Eric Dalen","POR",333
"806","Eric Dalen","SA",401
"807","Eric Dalen","SAC",306
"808","Eric Dalen","TOR",401
"809","Eric Dalen","UTA",359
"810","Eric Dalen","WAS",439
"811","Eric Lewis","ATL",483
"812","Eric Lewis","BKN",710
"813","Eric Lewis","BOS",546
"814","Eric Lewis","CHA",469
"815","Eric Lewis","CHI",495
"816","Eric Lewis","CLE",636
"817","Eric Lewis","DAL",575
"818","Eric Lewis","DEN",649
"819","Eric Lewis","DET",409
"820","Eric Lewis","GS",589
"821","Eric Lewis","HOU",561
"822","Eric Lewis","IND",474
"823","Eric Lewis","LAC",546
"824","Eric Lewis","LAL",451
"825","Eric Lewis","MEM",491
"826","Eric Lewis","MIA",560
"827","Eric Lewis","MIL",438
"828","Eric Lewis","MIN",426
"829","Eric Lewis","NO",425
